Material Name,Categories,Density,Chemical Properties,Mechanical Properties,Modulus of Elasticity,Poissons Ratio,Shear Modulus,Electrical Properties,Volume Resistivity,Dielectric Constant,Dielectric Loss Index,Thermal Properties,"CTE, linear",Thermal Conductivity,"Transformation Temperature, Tg",Softening Point,Working Point,Annealing Point,Optical Properties,Refractive Index,UV Transmittance,Hydrolytic Resistance,Stress-optical Coefficient K (10-6mm2N-1),tk100(°C),"Maximum Service Temperature, Air",CaO+MgO,SiO2,Classification Temperature (°C),CategoryList
Morgan Advanced Ceramics Luminex™ 993 Mac-MO995S Technical Ceramic,Ceramic,44.69403065022422,147.67946867469882,715.380579338843,58441751.03541965,63000000.0,1468491.3542295124,11.7,826692411748.6007,1200.0,215.6552323529412,0.05,0.07,0.001,0.19,1543278395576.3176,704225353715.4303,17032967588.783735,77380952579.94206,5917159763415.495,209.4985506842105,1050000834107.3104,7809161068842.147,7394160584375.095,6828220859572.754,6739.624936380951,9378571428912.5,8731599403719.894,['Ceramic']
Dandong Taico Minerals TAICOCITE® TC8 Magnesium Hydroxide,Ceramic,2.3,147.67946867469882,715.380579338843,58441751.03541965,65359935090.12174,1468491.3542295124,590426122632.758,826692411748.6007,69519305006.9414,215.6552323529412,238267.1215808333,0.5,85487826480.62068,3.0,1543278395576.3176,91.0,17032967588.783735,77380952579.94206,5.0,209.4985506842105,626.0,7809161068842.147,7394160584375.095,0.5,94.0,9378571428912.5,8731599403719.894,['Ceramic']
Chosun Refractories MSM-38 High-Adhesion Mortar,Ceramic,44.69403065022422,147.67946867469882,715.380579338843,58441751.03541965,65359935090.12174,1468491.3542295124,590426122632.758,826692411748.6007,69519305006.9414,215.6552323529412,238267.1215808333,6903448276201.1875,85487826480.62068,92171776502.37819,1543278395576.3176,704225353715.4303,17032967588.783735,77380952579.94206,5917159763415.495,209.4985506842105,1050000834107.3104,7809161068842.147,7394160584375.095,6828220859572.754,6739.624936380951,24.0,8731599403719.894,['Ceramic']
Schott LG-680 Silicate Laser Glass,Ceramic;Glass;Optical,2.54,121.61968406196213,938.9448417787444,35065129.877331585,39215961263.76291,881104.5515943182,9.3,1.19,41711583128.93873,290.8226446749226,143009.68098841206,4142068965918.9595,51432230985.3183,55303066032.70319,925967037497.377,422535212277.8413,10219780735.378134,46428571592.52163,3550295858081.2256,219.27625017163737,630000500497.2809,4685496641331.751,1.57,4096932515810.9297,15994.278176317206,5627142857431.44,5239580332021.5205,"['Ceramic', 'Glass', 'Optical']"
Mo-Sci Corporation GL 0179 Borosilicate glass frit,Ceramic;Glass,35.7966450710015,137.56643722030984,804.2291818725532,43831360.33297383,49019951488.29984,1101375.3202811016,442819591987.16125,1362004861760.698,52139478858.72964,295.7408453173375,178723.99487959934,5177586207293.966,64232149057.4326,69128832459.13899,1157458796764.8506,528169015325.222,12774725776.240967,58035714461.13636,4437869822580.105,227.04315435575046,787500625599.438,5856870801644.524,5545620438416.331,5121165644727.556,10325.090350723212,7033928571738.007,6549216794243.015,"['Ceramic', 'Glass']"
Zircar Zirconia YK-15 Yttria Knit Textile Insulation,Ceramic;Machinable Ceramic;Oxide,34.85735456093343,92.0,621.6540547962882,44955192.6071745,49632635289.40162,1028430.1214075604,10363738441724.086,10634365097676.63,53638289465.590126,161.56840951176468,0.003,0.02,66367968559.94547,0.02,1166362326083.0986,422535212431.767,19261340760.72838,59559884695.98958,4581223693112.369,361.0907327253411,668806619994.0287,4707910606934.702,4454063918264.818,4221108340046.4175,4241.910618466869,6028424908672.467,6789795640785.4,"['Ceramic', 'Machinable Ceramic', 'Oxide']"
Potters Industries A-Series A-100 Soda-Lime Silica Technical Quality Solid Glass Spheres,Ceramic;Glass,2.5,137.56643722030984,804.2291818725532,43831360.33297383,49019951488.29984,1101375.3202811016,442819591987.16125,1362004861760.698,52139478858.72964,295.7408453173375,178723.99487959934,5177586207293.966,64232149057.4326,69128832459.13899,1157458796764.8506,528169015325.222,12774725776.240967,58035714461.13636,4437869822580.105,227.04315435575046,787500625599.438,5856870801644.524,5545620438416.331,5121165644727.556,10325.090350723212,7033928571738.007,6549216794243.015,"['Ceramic', 'Glass']"
Iodine Nonaoxide,Ceramic;Oxide,52.56492174799874,159.71131046828827,676.2442524865884,68556631.2531715,75061636313.20595,1469081.6628467666,466526512335.5545,963393435379.7284,81956244839.75427,183.5738495147059,276792.44811655633,8156752873871.653,101804051349.55067,108315910714.32613,1758447018000.9456,528169015631.21985,20932620639.68686,90863997305.01517,7015189410217.756,195.59041880019493,884515924261.2141,5912905715455.2705,5589539357324.477,5431605205408.259,5175.057843881458,8037133699959.662,10425789549169.682,"['Ceramic', 'Oxide']"
Volcanic Lava,Ceramic,44.69403065022422,147.67946867469882,715.380579338843,58441751.03541965,65359935090.12174,1468491.3542295124,590426122632.758,826692411748.6007,69519305006.9414,215.6552323529412,238267.1215808333,6903448276201.1875,85487826480.62068,92171776502.37819,1543278395576.3176,704225353715.4303,17032967588.783735,77380952579.94206,5917159763415.495,209.4985506842105,1050000834107.3104,7809161068842.147,7394160584375.095,6828220859572.754,6739.624936380951,9378571428912.5,8731599403719.894,['Ceramic']
Ohara L-LAM69 Low Tg Optical Glass,Ceramic;Glass;Optical,3.24,121.61968406196213,6300.0999,113.3,44.5,0.273,118.0,1397826682018.5647,8.6,1.114,497.0,574.0,489.0,461.0,925967037497.377,1.68805,40.25,0.005354,81.0,76.0,4.0,3.0,340.0,410.0,4.0,3.1,20.0,"['Ceramic', 'Glass', 'Optical']"
AISI 4620 Steel,Metal;Ferrous Metal;Alloy Steel;AISI 4000 Series Steel;Low Alloy Steel;Carbon Steel;Low Carbon Steel,25.91293125,27.84980086666667,45.92371473684211,62.45598733333335,541.426177,17.087954375000002,4.922917142857143,274.46082631578946,19.674742857142856,61.050833333333344,56.00563076923077,67.51114539285716,248.59384574428572,358.05769642857143,58.74053333333333,69.16510523529412,69.74524691428572,93.78469899333332,83.24011843832001,11.201272727272727,270.5067954453333,459.134507705345,192.0841875,362.26076923076926,594.3883004347297,524.7013327808116,837.3324605741801,"['Metal', 'Ferrous Metal', 'Alloy Steel', 'AISI 4000 Series Steel', 'Low Alloy Steel', 'Carbon Steel', 'Low Carbon Steel']"
